id,descripcion_conc
15,wah madrid show espectacular mundo mundo distópico música prohibida surge wah madrid último reducto poder volver vivirla adéntrate espectáculo inédito europa wah combina mejor musicales gran historia espectacular puesta escena vestuario gran musical inmersiva través mayores éxitos historia música beethoven michael jackson unidos mismo hilo conductor cargo grandes voces artistas ello aderezado gran gastronómica degustarás si quieres cocina gourmet mundo través estaciones forma parte espectáculo consigue entradas wah show musical gastronómico ifema madrid solicita uber llega forma sencilla mayor show gastronómico musical ifema
331,village people concierto sala riviera it s fun to stay at the m c si leído frase cantando plan village people llega madrid primera vez ofrecerte concierto olvidarás responsables éxitos in the navy macho men iconos comunidad lgtbiq mítica banda neoyorkina tomará escenario sala riviera llenar ritmo color música noche junio acompañados teloneros inmejorables ecléctico grupo electrónica glam humo amp oxido activarán sala intensos beats principio pierdas viaje éxitos grupo disfrútalos manera inédita madrid consigue entradas village people concierto sala riviera madrid
307,concierto cris mj kumarah club prepara pulmones abril vas parar cantar déjate llevar concierto artista cris mj canciones marisola noche medellín podrás disfrutar set djs sergio gonzalez manu bayona harán vibrar disfrutar mejor música vienes consigue entradas concierto cris mj kumarah club madrid
319,cine mudo música directo siete ocasiones versión restaurada remasterizada clásico buster keaton interpretación directo banda sonora compuesta caspervek ensemble mejor cine mudo ritmo jazz clásico swing minimalismo característico conjunto disfrutar junto toda familia jimmy shannon buster keaton recibe visita inesperada abogado abuelo convierte heredero millones dólares condición contraído matrimonio tarde día cumple años día hoy consigue entradas cine mudo música directo siete ocasiones teatro pavón madrid
333,radio fórmula éxitos ayer hoy concierto vente mayor verbena musical centro madrid bala perdida club trae radio fórmula concierto impresionante actuación directo éxitos cantamos pleno pulmón temazos ayer hoy artistas favoritos cada día podrás disfrutar temas diferentes sorpresas nuevas si gusta música buena verdad puedes faltar consigue entradas radio fórmula éxitos ayer hoy concierto bala perdida club madrid
335,euroshow show eurovisivo black white si espera eurovisión agua mayo sigue leyendo show buscando llega black amp white cada noche celebración única famoso certamen encanta show exclusivo dedicado historia eurovisión disfrutarás concursos temas cantados directo mucha diversión consigue entradas euroshow show eurovisivo black amp white madrid
338,monólogos jam música directo coolturetas comedy coolturetas comedy referente clubs comedia españa años vida antiguos cada edición reciben visita varios cómicos seleccionados mejor panorama nacional internacional trata espectáculo open mic tras cómicos viene jam música directo divertida visto músicos profesionales amateur temazos ayer música improvisada momento fluya consigue entradas monólogos jam música directo coolturetas comedy
323,candlelight cuatro estaciones vivaldi san antonio alemanes elight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight cuatro estaciones vivaldi san antonio alemanes apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d información lugar iglesia san antonio alemanes madrid fecha hora mayo duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas asientos asignan llegada según tipo ticket comprado puedes consultar preguntas frecuentes respuestas aquí consulta conciertos candlelight madrid si deseas reservar concierto privado haz clic aquí x d programa candlelight cuatro estaciones vivaldi san antonio alemanes x d x d x d folia vivaldi x d cuatro estaciones vivaldi x d primavera allegro largo allegro pastorale x d verano allegro non molto adagio presto presto x d otoño allegro adagio molto allegro molto x d invierno allegro non molto largo allegro x d intérpretes x d x d cuarteto cuerda matrice x d x d opiniones conciertos candlelight monique m fenomenal increíble patricia c espectáculo precioso vibrante divertido revitalizante ponían pelos punta recomendando amigos puedo verlo joaquín g precioso espectáculo increíble aspectos x d x d
257,universal music festival lola índigo universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve nueva programación contará artistas nacionales internacionales grandes momento julio lola índigo encargada poner broche oro séptima edición festival concierto íntimo llevará particular estilo pop urbano diferentes generaciones ocasión especial contará banda atrezo único seguirá temática nuevo disco consigue entradas lola índigo teatro real madrid
26,tarjeta regalo wah madrid show espectacular mundo regalo wah madrid tarjeta regalo oficial wah madrid show espectacular mundo disfrutar gastronómica única vivir show mezcla mejor vegas broadway salir fiesta club espectacular moverte sitio ifema madrid opciones live table vive única casi puedes tocar artistas únicas butacas vivir directo wah forma inolvidable servicio camarero botellas carta acceso esperas acompañamiento mesa equipo anfitriones wah mesa asignada zona vip food hall club disfrutar fiesta comenzar finalizar show mesa vip servicio camarero botellas carta acceso esperas butaca exclusiva zona acotada acompañamiento mesa equipo anfitriones wah mesa asignada zona vip food hall club disfrutar fiesta comenzar finalizar show mesa servicio camarero botellas carta butaca exclusiva excelente visión panorámica escena acceso zona gastronómica disfrutar previamente posteriormente show butaca premium cómoda butaca asignada tribuna excelente visión panorámica escenario acceso zona gastronómica disfrutar previamente posteriormente show información tarjeta regalo cómo funciona recibirás código único deberás enviar persona regales tarjeta podrán usar código app fever comprar validación código solo puede canjearse entradas wah madrid cualquier fecha disponible mayo encontrarás información importante tarjeta regalo mail confirmación información general fechas hora sesión dinner and show aftershow s sesión matinal s lunch and show aftershow duración show musical dura horas aprox completa horas aprox edad mayores años sesiones lugar lugar clandestino ifema pabellón accesibilidad recinto accesible pmr personas movilidad reducida puedes consultar preguntas frecuentes respuestas aquí comida bebida espacio gastronómico incluida ticket
10,candlelight jazz x symphony candles tributo nina simone leyendas jazz light trae magia musical vivo lugares increíbles madrid consigue entradas candlelight jazz tributo nina simone leyendas jazz ateneo madrid apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí llega concierto forma rápida cómoda uber utiliza código recibirás compra entrada disfruta descuento primer viaje oferta solo nuevos usuarios disfruta noche mágica junto candlelight velas symphony candles inspirado música symphony origina partir idea orquesta instrumentos tipo hacen eco crear música armónica velas parpadean ritmo música nacen modo detección ritmo patentado emiten señales medida avanza ritmo información lugar ateneo madrid fecha hora mayo duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas puedes consultar preguntas frecuentes respuestas aquí si deseas reservar concierto privado haz clic aquí consulta conciertos candlelight madrid programa candlelight jazz tributo nina simone leyendas jazz x d i put spell on you x d love or leave x d my baby just cares for x d but not for x d i ll be seeing you x d twisted x d can t we be friends x d time after time x d after you ve gone x d ain t got i got life x d just like woman x d trouble in mind x d i loves you porgy x d i wish i knew how it would feel to be free x d feeling good x d intérpretes x d voz maría fernández x d piano julio martín x d contrabajo paolo furio x d bateria fran gayo x d
157,charlie cunningham concierto teatro eslava cantante compositor inglés charlie cunningham convertido verdadera historia éxito lento progresivo música transita piano melancólico pulso insistente marcado guitarra voz cálida evocadora carácter atemporal próximo marzo presentará esperado tercer álbum frame embarcará gira reino unido europa recalando teatro eslava presentarnos nuevas canciones canciones pop llenas referencias equilibradas art rock jazz época dorada composición neoclásica consigue entradas charlie cunningham concierto teatro eslava madrid
254,universal music festival kraftwerk universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve nueva programación contará artistas nacionales internacionales grandes momento tras éxito arrollador gira mundial kraftwerk traerá particular universo musical séptima edición festival próximo julio fundada ralf hütter florian schneider considerados padres alemanes música electrónica bandas influyentes innovadoras historia género consigue entradas kraftwerk teatro real madrid
256,universal music festival israel fernández universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve nueva programación contará artistas nacionales internacionales grandes momento israel fernández pisará primera vez escenario teatro real próximo julio presentar nuevo proyecto flamenco fusión vuelto trabajar junto diego morao lleva título pura sangre consigue entradas israel fernández teatro real madrid
253,universal music festival rufus wainwright universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve nueva programación contará artistas nacionales internacionales grandes momento rufus wainwright encargado abrir séptima edición festival próximo julio ecléctica propuesta aúna mejor folk americano géneros tan dispares pop indie música clásica ópera compositor cantante pianista canadiense lanzado varios álbumes aclamados crítica contribuido música varias películas colaborado artistas talla elton john leonard cohen consigue entradas rufus wainnwright teatro real madrid
255,universal music festival gloria trevi universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve nueva programación contará artistas nacionales internacionales grandes momento julio oportunidad escuchar gloria trevi directo séptima edición festival disfrutarás selección grandes éxitos nuevos temas concierto único consigue entradas gloria trevi teatro real madrid
258,universal music festival gilberto gil universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve nueva programación contará artistas nacionales internacionales grandes momento julio gilberto gil rodeará familiares amigos repasar grandes éxitos años carrera concierto único dentro programación séptima edición festival consigue entradas gilberto gil teatro real madrid
114,candlelight x symphony candles mejor luis miguel light conciertos luz velas traen magia musical lugares increíbles madrid consigue entradas candlelight mejor luis miguel ateneo madrid apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí llega concierto forma rápida cómoda uber utiliza código recibirás compra entrada disfruta descuento primer viaje oferta solo nuevos usuarios disfruta noche mágica junto candlelight velas symphony candles inspirado música symphony origina partir idea orquesta instrumentos tipo hacen eco crear música armónica velas parpadean ritmo música nacen modo detección ritmo patentado emiten señales medida avanza ritmo información lugar ateneo madrid fecha hora mayo duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas puedes consultar preguntas frecuentes respuestas aquí consulta conciertos candlelight madrid asientos asignan llegada según tipo ticket comprado si deseas reservar concierto privado haz clic aquí programa culpable media vuelta uacute ltima noche voy apagar luz contigo aprend iacute sabor m iacute debajo mesa inolvidable olvides luz luna amor amor amor toda vida d iacute quieras s eacute t uacute t uacute ninguna incondicional suave bikina ser aacute amas intérpretes mike martin piano guitarra voz javier sánchez guitarra david ruiz bajo federico marini batería x d
324,candlelight premium mejor chopin hotel palace lelight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight premium mejor chopin exclusivo hotel westin palace madrid x d apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d información lugar hotel westin palace madrid fecha hora abril duración minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto asientos asignan llegada según tipo ticket comprado accesibilidad recinto habilitado personas silla ruedas puedes consultar preguntas frecuentes respuestas aquí si deseas reservar concierto privado haz clic aquí consulta conciertos candlelight madrid x d desplázate taxi freenow descuento exclusivo podrás disfrutar ida vuelta vez introduzcas destino app si nuevo usuario disfruta descuento utilizando código candle primer viaje taxi coche compartido bici moto patinete promociones acumulables x d programa candlelight premium mejor chopin hotel westin palace madrid x d x d x d nocturnos op n n x d nocturno op n x d gran vals brillante op n x d nocturno do m op póstumo x d preludio op n x d fantasía impromptu op x d nocturnos op n x d polonesa heroíca op x d x d x d intérprete x d x d piano jose candel x d opiniones conciertos candlelight monique m fenomenal escalofríos espectáculo tania p auténtica maravilla guillermo única recomendable x d
397,tarjeta regalo candlelight madrid luye tarjeta regalo válida cualquier evento candlelight españa cada tarjeta regalo puede canjearse entrada candlelight si quieres regalar varias entradas deberás obtener misma cantidad tarjetas regalo ej tarjetas regalo entradas candlelight personas x d apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d cómo funciona recibirás código único podrás enviar destinatario tarjeta regalo podrá canjearlo cupón app fever uso cupón descontará valor tarjeta regalo precio total entradas candlelight compren x d información tarjeta regalo validez código puede utilizarse único espectáculo específico candlelight cualquier lugar españa caducidad tarjeta regalo puede utilizarse año partir fecha compra tras comprar tarjeta regalo recibirás correo electrónico confirmación código tarjeta regalo instrucciones cómo utilizarla encontrarás versión imprimir tarjeta regalo si quieres regalar destinatario copia física x d candlelights elegidos candlelight mejor hans zimmer candlelight jazz frank sinatra candlelight tributo coldplay candlelight cascanueces ballet x d tarjeta regalo candlelight trae mejor música nunca disfruta obras compositores clásicos modernos igual concierto exclusivo iluminado miles velas jazz rock pop música clásica incluso mejores bandas sonoras películas cobrarán vida espectacular íntimo espacio tarjeta regalo fácil usar válida cualquier evento candlelight mejor regalo amigos familiares consigue tarjeta regalo candlelight válida cualquier concierto candlelight madrid cualquier ciudad españa pierdas
341,candlelight comillas premium mejor queen elight summer conciertos luz velas traen magia musical lugares increíbles aire libre comillas santander consigue entradas candlelight summer comillas premium mejor queen x d apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d información lugar capricho gaudí comillas fecha hora junio duración concierto minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas asientos asignan llegada según tipo ticket comprado disponibilidad plazas parking cubierto descubierto ubicación alrededores puedes consultar preguntas frecuentes respuestas aquí si deseas reservar concierto privado haz clic aquí x d programa candlelight summer comillas premium mejor queen x d x d another one bites the dust x d bohemian rhapsody x d crazy little thing called love x d don t stop now x d killer queen x d love of my life x d i want to break free x d somebody to love x d under pressure x d we are the champions x d we will rock you x d who wants to live forever x d x d intérprete x d x d cuarteto cuerda musbika x d x d opiniones conciertos candlelight mario p asombrosas interpretaciones escenario especial recomendado tania p auténtica maravilla josep p sublime mejores nunca vistos x d
278,universal music festival universal music festival regresa ciclo conciertos llena música majestuoso teatro real madrid vuelve séptima edición nueva impresionante programación artistas directo apuesta trae artistas abrieron camino género kraftwerk deslumbrante música electrónica gilberto gil música popular brasileña artistas gran proyección futuro israel fernández mundo flamenco lola índigo urbano pop propuesta concluye músicos consumados rufus wainwright gloria trevi evento destaca verano musical madrileño consigue entradas universal music experience teatro real madrid
24,candlelight jazz x symphony candles jazz frank sinatra ateneo madrid lelight trae magia musical vivo lugares increíbles madrid consigue entradas candlelight jazz frank sinatra ateneo madrid apta compra bono cultural joven ministerio cultura deportes puedes consultar preguntas frecuentes respecto respuestas aquí x d disfruta noche mágica junto candlelight velas symphony candles inspirado música symphony origina partir idea orquesta instrumentos tipo hacen eco crear música armónica velas parpadean ritmo música nacen modo detección ritmo patentado emiten señales medida avanza ritmo información lugar ateneo madrid fecha hora mayo duración concierto minutos aprox apertura puertas minutos podrá acceder tras inicio edad partir años menores años deberán acudir acompañados adulto accesibilidad recinto habilitado personas silla ruedas puedes consultar preguntas frecuentes respuestas aquí si deseas reservar concierto privado haz clic aquí consulta conciertos candlelight madrid desplázate taxi freenow descuento exclusivo podrás disfrutar ida vuelta vez introduzcas destino app si nuevo usuario disfruta descuento utilizando código candle primer viaje taxi coche compartido bici moto patinete promociones acumulables programa candlelight jazz frank sinatra ateneo madrid x d x d the way you look tonight x d new york new york x d santa claus is coming to town x d frosty the snowman x d white christmas x d rudolf the red nosed reindeer x d i ve got you under my skin x d fly to the moon x d that s life x d cheek to cheel x d you make feel so young x d sweet lorraine x d x d intérpretes x d x d paolo furio contrabajo x d quique gómez voz x d martin holland batería x d julio martín piano x d x d x d x d
234,tarjeta regalo rockin banda mil músicos directo quieres vivir concierto directo banda rock grande jamás existido prepárate llega rockin proyecto reúne cientos cientos cantantes guitarristas teclistas bajistas músicos único gran escenario centro cívitas metropolitano madrid banda formada mil artistas tocando cantando perfecta sintonía clásicos nacionales internacionales grandes género vive espectáculo rock épico conquistado grandes capitales mundo llega madrid hacer historia sé testigo concierto único mundo público consigue tarjeta regalo rockin madrid
193,the new raemon concierto teatro eslava the new raemon proyecto músico catalán ramón rodríguez autor discografía compuesta álbumes siempre caballo folk indie pop letras cargadas ironía cierta melancolía unas composiciones detallistas delicadas the new raemon llegan teatro eslava celebrar acontecimiento especial aniversario salida primer álbum propósito garfunkel pilares pop español últimas décadas además concierto contará dos artistas invitados leia destruye castro consigue entradas the new raemon concierto teatro eslava madrid
328,concierto cruz bala perdida club x d alfonso cruz nació caracas venezuela tras paso talent show operación triunfo presentó primer lanzamiento titulado nadie va querer conseguiendo entrar varias radios nacionales actúa espacios reconocidos nivel mundial wizink center madrid palau san jordi barcelona presenta bala perdida club nuevo álbum hawaira álbum compuesto temas hablan amor traición decepciones ilusiones lado red flag lado mas fantasioso quieres disfrutar música directo consigue entradas concierto cruz bala perdida club madrid
167,libertinas escalera cabaré escalera jacob doce madrugada sótano centro lavapiés humo música directo artistas noche maquillaje baile risas cuerpos copas keka rufino vienen dar show banda rock fiamos irá manos puede ser cada semana traen artistas nuevas barrio cabaré concierto antro comedia discoteca da si gusta música actuaciones directo mientras tomas copa cerveza espectáculo puedes perder consigue entradas libertinas escalera cabaré escalera jacob madrid
453,callas concierto holograma gran teatro caixabank príncipe pío espectáculo impactante triunfado teatro pleyel parís arte magia maría callas vuelve escena radiante inolvidable voz gracias técnica holograma maría callas volverá escena proeza tecnológica d desarrollada empresa unidos base hologram coproductora show consiguiendo mítica cantante lírica muestre nuevamente público si allí nuevo carne hueso consigue entradas callas concierto holograma gran teatro caixabank príncipe pío madrid x d x d
44,cineman show daniel diges príncipe pío daniel diges presenta nuevo espectáculo cineman show emocionante viaje musical canciones emblemáticas historia cine particular humor junto músicos directo hará recorrido melodías anécdotas películas marcado cinema paradiso ghost mary poppins land gran showman rocketman gladiator muchas espectáculo toda familia divertido fresco daniel muestra tal entregándose público único objetivo hacerles disfrutar consigue entradas cineman show daniel diges gran teatro caixabank príncipe pío madrid
454,whitney houston hologram tour príncipe pío espectáculo internacional revive whitney houston holograma estreno mundial madrid gran teatro caixabank príncipe pío última tecnología desarrollada base hologram aclamado equipo creativo fátima robinson directora arte nombrada personas creativas show business keith harris director musical ganador premio grammy nombres propios llevado escena espectacular show supervisado hermana whitney houston tras retrasar estreno vegas debido situación mundial madrid ciudad acogerá gran estreno temporada x d x d
222,mocedades panchos años contigo quién algún recuerdo ligado canciones mocedades panchos imaginas verlos juntos concierto mocedades celebrando años junto trío panchos representados última primera voz rafael basurto lara referente mundial bolero balada romántica quieres escucharlos directo consigue entradas mocedades panchos años contigo gran teatro caixabank príncipe pío madrid
236,if you like cars presenta autopía if you like cars vuelve autopía mejor evento amantes automóviles motos cultura hace modo único imaginas paseando precioso bosque privado nunca abierto público mientras rodean coches clásicos especiales acompañados motos majestuosas ocultos olivos centenarios paisaje ensueño autopía idilio automovilístico bosque lugar exclusivo bosque santander disfrutarás sombra árboles cultura mundo motor ayer hoy buena música directo deliciosa comida mañana ocaso además ven disfrutar perro reunión canina ifyoulikedogs consigue entradas if you like cars presenta autopía madrid
240,bowie taken by duffy exposición adéntrate efervescentes años setenta proceso creativo dos artistas extraordinarios bowie taken by duffy exposición única acerca cinco sesiones fotográficas compartieron fotógrafo brian duffy legendario david bowie surgieron imágenes portadas discos ziggy stardust the thin white duke scary monsters icónico aladdin sane disfruta recorrido inédito reúne copias vintage objetos archivo duffy entrevistas vídeo nunca vistas personas colaboraron bowie célebres sesiones fotográficas brian duffy acercó pudo david bowie cinco ocasiones gracias imágenes resto mortales podemos acercarnos mito propios ojos consigue entradas bowie taken by duffy madrid
316,the opera locos yllana gran teatro caixabank príncipe pío cinco cantantes líricos protagonistas the opera locos espectáculo cómico operístico grandes éxitos ópera fusionan estilos musicales forma original singular puesta escena cuidada estética comedia yllana the opera locos consigue crear nueva diferente hora experimentar ópera acercarla públicos manera fresca inusual divertida consigue entradas the opera locos yllana gran teatro caixa bankpríncipe pío madrid
